initiator_weights,responder_weights,preference_conflict,minimax_selected,canonical_selected,minimum_total_selected,initiator_selected,responder_selected,minimax_maximum_regret,canonical_first_safe_maximum_regret,canonical_first_safe_fairness_gain,minimum_total_cost_maximum_regret,minimum_total_cost_fairness_gain,initiator_minimum_cost_maximum_regret,initiator_minimum_cost_fairness_gain,responder_minimum_cost_maximum_regret,responder_minimum_cost_fairness_gain
0/0/10000,0/10000/0,False,S04,S00,S04,S04,S04,0E-28,0.8888888888888888888888888889,0.8888888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/0/9000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/1000/8000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/2000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/3000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/4000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/5000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/6000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/7000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/8000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,1000/9000/0,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/0/8000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/1000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/2000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/3000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/4000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/5000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/6000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/7000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,2000/8000/0,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/0/7000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/1000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/2000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/3000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/4000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/5000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/6000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,3000/7000/0,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/0/6000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/1000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/2000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/3000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/4000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,4000/5000/1000,True,S04,S00,S04,S04,S02,0.0172514619883040935672514620,0.8333333333333333333333333333,0.8160818713450292397660818713,0.0172514619883040935672514620,0E-28,0.0172514619883040935672514620,0E-28,0.6111111111111111111111111111,0.5938596491228070175438596491
0/0/10000,4000/6000/0,True,S04,S00,S04,S04,S02,0.0561403508771929824561403509,0.8333333333333333333333333333,0.7771929824561403508771929824,0.0561403508771929824561403509,0E-28,0.0561403508771929824561403509,0E-28,0.6111111111111111111111111111,0.5549707602339181286549707602
0/0/10000,5000/0/5000,True,S04,S00,S04,S04,S00,0.0307017543859649122807017544,0.8333333333333333333333333333,0.8026315789473684210526315789,0.0307017543859649122807017544,0E-28,0.0307017543859649122807017544,0E-28,0.8333333333333333333333333333,0.8026315789473684210526315789
0/0/10000,5000/1000/4000,True,S04,S00,S04,S04,S00,0.0251461988304093567251461988,0.8333333333333333333333333333,0.8081871345029239766081871345,0.0251461988304093567251461988,0E-28,0.0251461988304093567251461988,0E-28,0.8333333333333333333333333333,0.8081871345029239766081871345
0/0/10000,5000/2000/3000,True,S04,S00,S04,S04,S01,0.0239766081871345029239766082,0.8333333333333333333333333333,0.8093567251461988304093567251,0.0239766081871345029239766082,0E-28,0.0239766081871345029239766082,0E-28,0.7777777777777777777777777778,0.7538011695906432748538011696
0/0/10000,5000/3000/2000,True,S04,S00,S04,S04,S02,0.0479532163742690058479532163,0.8333333333333333333333333333,0.7853801169590643274853801170,0.0479532163742690058479532163,0E-28,0.0479532163742690058479532163,0E-28,0.6111111111111111111111111111,0.5631578947368421052631578948
0/0/10000,5000/4000/1000,True,S04,S00,S04,S04,S02,0.0868421052631578947368421052,0.8333333333333333333333333333,0.7464912280701754385964912281,0.0868421052631578947368421052,0E-28,0.0868421052631578947368421052,0E-28,0.6111111111111111111111111111,0.5242690058479532163742690059
0/0/10000,5000/5000/0,True,S04,S00,S04,S04,S02,0.1257309941520467836257309941,0.8333333333333333333333333333,0.7076023391812865497076023392,0.1257309941520467836257309941,0E-28,0.1257309941520467836257309941,0E-28,0.6111111111111111111111111111,0.4853801169590643274853801170
0/0/10000,6000/0/4000,True,S04,S00,S04,S04,S00,0.2035087719298245614035087720,0.8333333333333333333333333333,0.6298245614035087719298245613,0.2035087719298245614035087720,0E-28,0.2035087719298245614035087720,0E-28,0.8333333333333333333333333333,0.6298245614035087719298245613
0/0/10000,6000/1000/3000,True,S04,S00,S04,S04,S00,0.1979532163742690058479532164,0.8333333333333333333333333333,0.6353801169590643274853801169,0.1979532163742690058479532164,0E-28,0.1979532163742690058479532164,0E-28,0.8333333333333333333333333333,0.6353801169590643274853801169
0/0/10000,6000/2000/2000,True,S04,S00,S04,S04,S00,0.1923976608187134502923976608,0.8333333333333333333333333333,0.6409356725146198830409356725,0.1923976608187134502923976608,0E-28,0.1923976608187134502923976608,0E-28,0.8333333333333333333333333333,0.6409356725146198830409356725
0/0/10000,6000/3000/1000,True,S04,S00,S04,S04,S01,0.1976608187134502923976608187,0.8333333333333333333333333333,0.6356725146198830409356725146,0.1976608187134502923976608187,0E-28,0.1976608187134502923976608187,0E-28,0.7777777777777777777777777778,0.5801169590643274853801169591
0/0/10000,6000/4000/0,True,S04,S00,S04,S04,S01,0.2198830409356725146198830410,0.8333333333333333333333333333,0.6134502923976608187134502923,0.2198830409356725146198830410,0E-28,0.2198830409356725146198830410,0E-28,0.7777777777777777777777777778,0.5578947368421052631578947368
0/0/10000,7000/0/3000,True,S03,S00,S04,S04,S00,0.3122807017543859649122807017,0.8333333333333333333333333333,0.5210526315789473684210526316,0.3763157894736842105263157895,0.0640350877192982456140350878,0.3763157894736842105263157895,0.0640350877192982456140350878,0.8333333333333333333333333333,0.5210526315789473684210526316
0/0/10000,7000/1000/2000,True,S03,S00,S04,S04,S00,0.2900584795321637426900584795,0.8333333333333333333333333333,0.5432748538011695906432748538,0.3707602339181286549707602339,0.0807017543859649122807017544,0.3707602339181286549707602339,0.0807017543859649122807017544,0.8333333333333333333333333333,0.5432748538011695906432748538
0/0/10000,7000/2000/1000,True,S03,S00,S04,S04,S00,0.2777777777777777777777777778,0.8333333333333333333333333333,0.5555555555555555555555555555,0.3652046783625730994152046784,0.0874269005847953216374269006,0.3652046783625730994152046784,0.0874269005847953216374269006,0.8333333333333333333333333333,0.5555555555555555555555555555
0/0/10000,7000/3000/0,True,S03,S00,S04,S04,S00,0.2777777777777777777777777778,0.8333333333333333333333333333,0.5555555555555555555555555555,0.3596491228070175438596491228,0.0818713450292397660818713450,0.3596491228070175438596491228,0.0818713450292397660818713450,0.8333333333333333333333333333,0.5555555555555555555555555555
0/0/10000,8000/0/2000,True,S03,S00,S04,S04,S00,0.4362573099415204678362573099,0.8333333333333333333333333333,0.3970760233918128654970760234,0.5491228070175438596491228070,0.1128654970760233918128654971,0.5491228070175438596491228070,0.1128654970760233918128654971,0.8333333333333333333333333333,0.3970760233918128654970760234
0/0/10000,8000/1000/1000,True,S03,S00,S04,S04,S00,0.4140350877192982456140350877,0.8333333333333333333333333333,0.4192982456140350877192982456,0.5435672514619883040935672515,0.1295321637426900584795321638,0.5435672514619883040935672515,0.1295321637426900584795321638,0.8333333333333333333333333333,0.4192982456140350877192982456
0/0/10000,8000/2000/0,True,S03,S00,S04,S04,S00,0.3918128654970760233918128654,0.8333333333333333333333333333,0.4415204678362573099415204679,0.5380116959064327485380116959,0.1461988304093567251461988305,0.5380116959064327485380116959,0.1461988304093567251461988305,0.8333333333333333333333333333,0.4415204678362573099415204679
0/0/10000,9000/0/1000,True,S03,S00,S04,S04,S00,0.5602339181286549707602339182,0.8333333333333333333333333333,0.2730994152046783625730994151,0.7219298245614035087719298246,0.1616959064327485380116959064,0.7219298245614035087719298246,0.1616959064327485380116959064,0.8333333333333333333333333333,0.2730994152046783625730994151
0/0/10000,9000/1000/0,True,S03,S00,S04,S04,S00,0.5380116959064327485380116959,0.8333333333333333333333333333,0.2953216374269005847953216374,0.7163742690058479532163742690,0.1783625730994152046783625731,0.7163742690058479532163742690,0.1783625730994152046783625731,0.8333333333333333333333333333,0.2953216374269005847953216374
0/0/10000,10000/0/0,True,S02,S00,S00,S04,S00,0.6111111111111111111111111111,0.8333333333333333333333333333,0.2222222222222222222222222222,0.8333333333333333333333333333,0.2222222222222222222222222222,0.8947368421052631578947368421,0.2836257309941520467836257310,0.8333333333333333333333333333,0.2222222222222222222222222222
0/1000/9000,0/0/10000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/1000/9000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/2000/8000,False,S04,S00,S04,S04,S04,0E-28,0.8444444444444444444444444444,0.8444444444444444444444444444,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/3000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8500000000000000000000000000,0.8500000000000000000000000000,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/4000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8555555555555555555555555556,0.8555555555555555555555555556,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/5000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8611111111111111111111111110,0.8611111111111111111111111110,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/6000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8666666666666666666666666666,0.8666666666666666666666666666,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/7000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8722222222222222222222222222,0.8722222222222222222222222222,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/8000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8777777777777777777777777778,0.8777777777777777777777777778,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/9000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8833333333333333333333333333,0.8833333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,0/10000/0,False,S04,S00,S04,S04,S04,0E-28,0.8888888888888888888888888889,0.8888888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/0/9000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/1000/8000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/2000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/3000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/4000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/5000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/6000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/7000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/8000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,1000/9000/0,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/0/8000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/1000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/2000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/3000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/4000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/5000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/6000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/7000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,2000/8000/0,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/0/7000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/1000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/2000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/3000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/4000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/5000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/6000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,3000/7000/0,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/0/6000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/1000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/2000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/3000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/4000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/1000/9000,4000/5000/1000,True,S04,S00,S04,S04,S02,0.0172514619883040935672514620,0.8388888888888888888888888889,0.8216374269005847953216374269,0.0172514619883040935672514620,0E-28,0.0172514619883040935672514620,0E-28,0.5722222222222222222222222222,0.5549707602339181286549707602
0/1000/9000,4000/6000/0,True,S04,S00,S04,S04,S02,0.0561403508771929824561403509,0.8388888888888888888888888889,0.7827485380116959064327485380,0.0561403508771929824561403509,0E-28,0.0561403508771929824561403509,0E-28,0.5722222222222222222222222222,0.5160818713450292397660818713
0/1000/9000,5000/0/5000,True,S04,S00,S04,S04,S00,0.0307017543859649122807017544,0.8388888888888888888888888889,0.8081871345029239766081871345,0.0307017543859649122807017544,0E-28,0.0307017543859649122807017544,0E-28,0.8388888888888888888888888889,0.8081871345029239766081871345
0/1000/9000,5000/1000/4000,True,S04,S00,S04,S04,S00,0.0251461988304093567251461988,0.8388888888888888888888888889,0.8137426900584795321637426901,0.0251461988304093567251461988,0E-28,0.0251461988304093567251461988,0E-28,0.8388888888888888888888888889,0.8137426900584795321637426901
0/1000/9000,5000/2000/3000,True,S04,S00,S04,S04,S01,0.0239766081871345029239766082,0.8388888888888888888888888889,0.8149122807017543859649122807,0.0239766081871345029239766082,0E-28,0.0239766081871345029239766082,0E-28,0.7555555555555555555555555556,0.7315789473684210526315789474
0/1000/9000,5000/3000/2000,True,S04,S00,S04,S04,S02,0.0479532163742690058479532163,0.8388888888888888888888888889,0.7909356725146198830409356726,0.0479532163742690058479532163,0E-28,0.0479532163742690058479532163,0E-28,0.5722222222222222222222222222,0.5242690058479532163742690059
0/1000/9000,5000/4000/1000,True,S04,S00,S04,S04,S02,0.0868421052631578947368421052,0.8388888888888888888888888889,0.7520467836257309941520467837,0.0868421052631578947368421052,0E-28,0.0868421052631578947368421052,0E-28,0.5722222222222222222222222222,0.4853801169590643274853801170
0/1000/9000,5000/5000/0,True,S04,S00,S04,S04,S02,0.1257309941520467836257309941,0.8388888888888888888888888889,0.7131578947368421052631578948,0.1257309941520467836257309941,0E-28,0.1257309941520467836257309941,0E-28,0.5722222222222222222222222222,0.4464912280701754385964912281
0/1000/9000,6000/0/4000,True,S04,S00,S04,S04,S00,0.2035087719298245614035087720,0.8388888888888888888888888889,0.6353801169590643274853801169,0.2035087719298245614035087720,0E-28,0.2035087719298245614035087720,0E-28,0.8388888888888888888888888889,0.6353801169590643274853801169
0/1000/9000,6000/1000/3000,True,S04,S00,S04,S04,S00,0.1979532163742690058479532164,0.8388888888888888888888888889,0.6409356725146198830409356725,0.1979532163742690058479532164,0E-28,0.1979532163742690058479532164,0E-28,0.8388888888888888888888888889,0.6409356725146198830409356725
0/1000/9000,6000/2000/2000,True,S04,S00,S04,S04,S00,0.1923976608187134502923976608,0.8388888888888888888888888889,0.6464912280701754385964912281,0.1923976608187134502923976608,0E-28,0.1923976608187134502923976608,0E-28,0.8388888888888888888888888889,0.6464912280701754385964912281
0/1000/9000,6000/3000/1000,True,S04,S00,S04,S04,S01,0.1976608187134502923976608187,0.8388888888888888888888888889,0.6412280701754385964912280702,0.1976608187134502923976608187,0E-28,0.1976608187134502923976608187,0E-28,0.7555555555555555555555555556,0.5578947368421052631578947369
0/1000/9000,6000/4000/0,True,S04,S00,S04,S04,S01,0.2198830409356725146198830410,0.8388888888888888888888888889,0.6190058479532163742690058479,0.2198830409356725146198830410,0E-28,0.2198830409356725146198830410,0E-28,0.7555555555555555555555555556,0.5356725146198830409356725146
0/1000/9000,7000/0/3000,True,S03,S00,S04,S04,S00,0.3122807017543859649122807017,0.8388888888888888888888888889,0.5266081871345029239766081872,0.3763157894736842105263157895,0.0640350877192982456140350878,0.3763157894736842105263157895,0.0640350877192982456140350878,0.8388888888888888888888888889,0.5266081871345029239766081872
0/1000/9000,7000/1000/2000,True,S03,S00,S04,S04,S00,0.2900584795321637426900584795,0.8388888888888888888888888889,0.5488304093567251461988304094,0.3707602339181286549707602339,0.0807017543859649122807017544,0.3707602339181286549707602339,0.0807017543859649122807017544,0.8388888888888888888888888889,0.5488304093567251461988304094
0/1000/9000,7000/2000/1000,True,S03,S00,S04,S04,S00,0.2678362573099415204678362573,0.8388888888888888888888888889,0.5710526315789473684210526316,0.3652046783625730994152046784,0.0973684210526315789473684211,0.3652046783625730994152046784,0.0973684210526315789473684211,0.8388888888888888888888888889,0.5710526315789473684210526316
