observation_id,kind,scenario_id,method,attack_id,component
component:commit_creation:p06,component,,,,commit_creation
component:reveal_verification:p06,component,,,,reveal_verification
component:Pareto_computation:p06,component,,,,Pareto_computation
component:minimax_regret_computation:p06,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p06,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p06,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p06,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p06,component,,,,conflict_certificate_generation
component:IUS_verification:p06,component,,,,IUS_verification
component:state_trace_verification:p06,component,,,,state_trace_verification
component:policy_compilation:p07,component,,,,policy_compilation
component:commit_creation:p07,component,,,,commit_creation
component:reveal_verification:p07,component,,,,reveal_verification
component:Pareto_computation:p07,component,,,,Pareto_computation
component:minimax_regret_computation:p07,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p07,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p07,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p07,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p07,component,,,,conflict_certificate_generation
component:IUS_verification:p07,component,,,,IUS_verification
component:state_trace_verification:p07,component,,,,state_trace_verification
component:policy_compilation:p08,component,,,,policy_compilation
component:commit_creation:p08,component,,,,commit_creation
component:reveal_verification:p08,component,,,,reveal_verification
component:Pareto_computation:p08,component,,,,Pareto_computation
component:minimax_regret_computation:p08,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p08,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p08,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p08,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p08,component,,,,conflict_certificate_generation
component:IUS_verification:p08,component,,,,IUS_verification
component:state_trace_verification:p08,component,,,,state_trace_verification
component:policy_compilation:p09,component,,,,policy_compilation
component:commit_creation:p09,component,,,,commit_creation
component:reveal_verification:p09,component,,,,reveal_verification
component:Pareto_computation:p09,component,,,,Pareto_computation
component:minimax_regret_computation:p09,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p09,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p09,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p09,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p09,component,,,,conflict_certificate_generation
component:IUS_verification:p09,component,,,,IUS_verification
component:state_trace_verification:p09,component,,,,state_trace_verification
component:policy_compilation:p10,component,,,,policy_compilation
component:commit_creation:p10,component,,,,commit_creation
component:reveal_verification:p10,component,,,,reveal_verification
component:Pareto_computation:p10,component,,,,Pareto_computation
component:minimax_regret_computation:p10,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p10,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p10,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p10,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p10,component,,,,conflict_certificate_generation
component:IUS_verification:p10,component,,,,IUS_verification
component:state_trace_verification:p10,component,,,,state_trace_verification
